date;source;dut;temp;
10202018-16:32:25;-10.9;-10.900050150;40.7;
10202018-16:33:11;-10.8;-10.800051900;40.7;
10202018-16:33:56;-10.7;-10.700051620;40.7;
10202018-16:34:42;-10.6;-10.600050550;40.7;
10202018-16:35:27;-10.5;-10.500049810;40.7;
10202018-16:36:12;-10.4;-10.400048590;40.7;
10202018-16:36:58;-10.3;-10.300047160;40.7;
10202018-16:37:43;-10.2;-10.200045070;40.7;
10202018-16:38:29;-10.1;-10.100045200;40.7;
10202018-16:39:14;-10.0;-10.000044030;40.7;
10202018-16:39:59;-9.9;-9.900042368;40.7;
10202018-16:40:45;-9.8;-9.800040968;40.7;
10202018-16:41:30;-9.7;-9.700040155;40.7;
10202018-16:42:15;-9.6;-9.600038315;40.7;
10202018-16:43:01;-9.5;-9.500036857;40.7;
10202018-16:43:46;-9.4;-9.400034989;40.7;
10202018-16:44:32;-9.3;-9.300033955;40.7;
10202018-16:45:17;-9.2;-9.200032482;40.7;
10202018-16:46:02;-9.1;-9.100031332;40.7;
10202018-16:46:48;-9.0;-9.000029493;40.7;
10202018-16:47:33;-8.9;-8.900027580;40.7;
10202018-16:48:19;-8.8;-8.800026400;40.7;
10202018-16:49:04;-8.7;-8.700024913;40.7;
10202018-16:49:49;-8.6;-8.600023484;40.7;
10202018-16:50:35;-8.5;-8.500021586;40.7;
10202018-16:51:20;-8.4;-8.400020743;40.7;
10202018-16:52:06;-8.3;-8.300018918;40.7;
10202018-16:52:51;-8.2;-8.200016830;40.7;
10202018-16:53:36;-8.1;-8.100015035;40.7;
10202018-16:54:22;-8.0;-8.000014338;40.7;
10202018-16:55:07;-7.9;-7.900012382;40.7;
10202018-16:55:52;-7.8;-7.800010557;40.7;
10202018-16:56:38;-7.7;-7.700009084;40.7;
10202018-16:57:23;-7.6;-7.600008110;40.7;
10202018-16:58:09;-7.5;-7.500006534;40.7;
10202018-16:58:54;-7.4;-7.400004812;40.7;
10202018-16:59:39;-7.3;-7.300003383;40.7;
10202018-17:00:25;-7.2;-7.200002233;40.7;
10202018-17:01:10;-7.1;-7.100000261;40.7;
10202018-17:01:56;-7.0;-6.999998583;40.7;
10202018-17:02:41;-6.9;-6.899997052;40.7;
10202018-17:03:26;-6.8;-6.799995989;40.7;
10202018-17:04:12;-6.7;-6.699994633;40.7;
10202018-17:04:57;-6.6;-6.599992721;40.7;
10202018-17:05:43;-6.5;-6.499990823;40.7;
10202018-17:06:28;-6.4;-6.399989174;40.8;
10202018-17:07:13;-6.3;-6.299987525;40.8;
10202018-17:07:59;-6.2;-6.199986052;40.8;
10202018-17:08:44;-6.1;-6.099984257;40.8;
10202018-17:09:29;-6.0;-5.999982931;40.8;
10202018-17:10:15;-5.9;-5.899981135;40.8;
10202018-17:11:00;-5.8;-5.799979413;40.8;
10202018-17:11:46;-5.7;-5.699977970;40.8;
10202018-17:12:31;-5.6;-5.599976717;40.8;
10202018-17:13:16;-5.5;-5.499974877;40.8;
10202018-17:14:02;-5.4;-5.399973316;40.8;
10202018-17:14:47;-5.3;-5.299971580;40.8;
10202018-17:15:33;-5.2;-5.199970517;40.8;
10202018-17:16:18;-5.1;-5.099968561;40.8;
10202018-17:17:03;-5.0;-4.999967205;40.8;
10202018-17:17:49;-4.9;-4.899965644;40.8;
10202018-17:18:34;-4.8;-4.799964069;40.8;
10202018-17:19:20;-4.7;-4.699962566;40.8;
10202018-17:20:05;-4.6;-4.599961445;40.8;
10202018-17:20:50;-4.5;-4.499959782;40.8;
10202018-17:21:36;-4.4;-4.399957781;40.8;
10202018-17:22:21;-4.3;-4.299956308;40.8;
10202018-17:23:07;-4.2;-4.199954894;40.8;
10202018-17:23:52;-4.1;-4.099953040;40.8;
10202018-17:24:37;-4.0;-3.999951494;40.9;
10202018-17:25:23;-3.9;-3.899949904;40.8;
10202018-17:26:08;-3.8;-3.799948372;40.9;
10202018-17:26:53;-3.7;-3.699947046;40.9;
10202018-17:27:39;-3.6;-3.599945001;40.9;
10202018-17:28:24;-3.5;-3.499943528;40.9;
10202018-17:29:10;-3.4;-3.399942305;40.9;
10202018-17:29:55;-3.3;-3.299940920;40.9;
10202018-17:30:40;-3.2;-3.199939300;40.9;
10202018-17:31:26;-3.1;-3.099937959;40.9;
10202018-17:32:11;-3.0;-2.999936105;40.9;
10202018-17:32:57;-2.9;-2.899934500;40.9;
10202018-17:33:42;-2.8;-2.799932837;40.9;
10202018-17:34:27;-2.7;-2.699931085;40.9;
10202018-17:35:13;-2.6;-2.599929774;40.9;
10202018-17:35:58;-2.5;-2.499928345;40.9;
10202018-17:36:44;-2.4;-2.399926286;40.9;
10202018-17:37:29;-2.3;-2.299924754;40.9;
10202018-17:38:14;-2.2;-2.199923164;40.9;
10202018-17:39:00;-2.1;-2.099921237;41.0;
10202018-17:39:45;-2.0;-1.999919910;41.0;
10202018-17:40:31;-1.9;-1.899918423;41.0;
10202018-17:41:16;-1.8;-1.799916686;41.0;
10202018-17:42:01;-1.7;-1.699915169;41.0;
10202018-17:42:47;-1.6;-1.599913696;41.0;
10202018-17:43:32;-1.5;-1.499911916;41.0;
10202018-17:44:17;-1.4;-1.399910355;41.0;
10202018-17:45:03;-1.3;-1.299909131;41.0;
10202018-17:45:48;-1.2;-1.199907130;41.0;
10202018-17:46:34;-1.1;-1.099905951;41.0;
10202018-17:47:19;-1.0;-0.999904243;41.0;
10202018-17:48:04;-0.9;-0.899902492;41.0;
10202018-17:48:50;-0.8;-0.799900887;41.0;
10202018-17:49:35;-0.7;-0.699899092;41.0;
10202018-17:50:21;-0.6;-0.599896813;41.1;
10202018-17:51:06;-0.5;-0.499895120;41.1;
10202018-17:51:51;-0.4;-0.399893706;41.1;
10202018-17:52:37;-0.3;-0.299892086;41.1;
10202018-17:53:22;-0.2;-0.199890774;41.1;
10202018-17:54:08;-0.1;-0.099889492;41.1;
10202018-17:54:53;0.0;0.000110896;41.1;
10202018-17:55:38;0.1;0.100111651;41.1;
10202018-17:56:24;0.2;0.200112948;41.1;
10202018-17:57:09;0.3;0.300113439;41.1;
10202018-17:57:54;0.4;0.400115367;41.1;
10202018-17:58:40;0.5;0.500117015;41.1;
10202018-17:59:25;0.6;0.600119133;41.1;
10202018-18:00:11;0.7;0.700120533;41.1;
10202018-18:00:56;0.8;0.800122563;41.1;
10202018-18:01:41;0.9;0.900124299;41.1;
10202018-18:02:27;1.0;1.000125904;41.2;
10202018-18:03:12;1.1;1.100127201;41.2;
10202018-18:03:58;1.2;1.200128835;41.2;
10202018-18:04:43;1.3;1.300130513;41.2;
10202018-18:05:28;1.4;1.400132397;41.2;
10202018-18:06:14;1.5;1.500134001;41.2;
10202018-18:06:59;1.6;1.600134961;41.2;
10202018-18:07:45;1.7;1.700136889;41.2;
10202018-18:08:30;1.8;1.800138757;41.2;
10202018-18:09:15;1.9;1.900139937;41.2;
10202018-18:10:01;2.0;2.000141410;41.2;
10202018-18:10:46;2.1;2.100143616;41.2;
10202018-18:11:31;2.2;2.200144898;41.2;
10202018-18:12:17;2.3;2.300146400;41.2;
10202018-18:13:02;2.4;2.400148064;41.2;
10202018-18:13:48;2.5;2.500149420;41.2;
10202018-18:14:33;2.6;2.600151024;41.2;
10202018-18:15:18;2.7;2.700152556;41.2;
10202018-18:16:04;2.8;2.800153941;41.2;
10202018-18:16:49;2.9;2.900155824;41.2;
10202018-18:17:35;3.0;3.000157722;41.3;
10202018-18:18:20;3.1;3.100159356;41.3;
10202018-18:19:05;3.2;3.200161005;41.3;
10202018-18:19:51;3.3;3.300162317;41.3;
10202018-18:20:36;3.4;3.400164024;41.3;
10202018-18:21:22;3.5;3.500165761;41.3;
10202018-18:22:07;3.6;3.600167336;41.3;
10202018-18:22:52;3.7;3.700168589;41.3;
10202018-18:23:38;3.8;3.800170487;41.3;
10202018-18:24:23;3.9;3.900172400;41.3;
10202018-18:25:08;4.0;4.000174005;41.3;
10202018-18:25:54;4.1;4.100175492;41.3;
10202018-18:26:39;4.2;4.200177229;41.3;
10202018-18:27:25;4.3;4.300178805;41.3;
10202018-18:28:10;4.4;4.400180234;41.3;
10202018-18:28:55;4.5;4.500181736;41.3;
10202018-18:29:41;4.6;4.600183223;41.3;
10202018-18:30:26;4.7;4.700184960;41.3;
10202018-18:31:12;4.8;4.800186330;41.3;
10202018-18:31:57;4.9;4.900187290;41.3;
10202018-18:32:42;5.0;5.000189276;41.3;
10202018-18:33:28;5.1;5.100191013;41.3;
10202018-18:34:13;5.2;5.200192574;41.3;
10202018-18:34:58;5.3;5.300194692;41.3;
10202018-18:35:44;5.4;5.400195329;41.3;
10202018-18:36:29;5.5;5.500196934;41.3;
10202018-18:37:15;5.6;5.600198700;41.3;
10202018-18:38:00;5.7;5.700200847;41.3;
10202018-18:38:45;5.8;5.800202437;41.4;
10202018-18:39:31;5.9;5.900203793;41.4;
10202018-18:40:16;6.0;6.000205222;41.4;
10202018-18:41:02;6.1;6.100207398;41.4;
10202018-18:41:47;6.2;6.200208637;41.4;
10202018-18:42:32;6.3;6.300210491;41.4;
10202018-18:43:18;6.4;6.400212022;41.4;
10202018-18:44:03;6.5;6.500214169;41.4;
10202018-18:44:48;6.6;6.600214895;41.4;
10202018-18:45:34;6.7;6.700216925;41.4;
10202018-18:46:19;6.8;6.800218529;41.4;
10202018-18:47:05;6.9;6.900220295;41.4;
10202018-18:47:50;7.0;7.000221592;41.4;
10202018-18:48:35;7.1;7.100223520;41.4;
10202018-18:49:21;7.2;7.200225198;41.4;
10202018-18:50:06;7.3;7.300227140;41.4;
10202018-18:50:52;7.4;7.400229287;41.4;
10202018-18:51:37;7.5;7.500229910;41.4;
10202018-18:52:22;7.6;7.600232174;41.4;
10202018-18:53:08;7.7;7.700233984;41.4;
10202018-18:53:53;7.8;7.800235867;41.4;
10202018-18:54:39;7.9;7.900237032;41.4;
10202018-18:55:24;8.0;8.000238388;41.4;
10202018-18:56:09;8.1;8.100240169;41.4;
10202018-18:56:55;8.2;8.200242360;41.4;
10202018-18:57:40;8.3;8.300243496;41.4;
10202018-18:58:25;8.4;8.400245745;41.4;
10202018-18:59:11;8.5;8.500247907;41.4;
10202018-18:59:56;8.6;8.600249644;41.4;
10202018-19:00:42;8.7;8.700250824;41.4;
10202018-19:01:27;8.8;8.800252472;41.4;
10202018-19:02:12;8.9;8.900254356;41.4;
10202018-19:02:58;9.0;9.000256136;41.4;
10202018-19:03:43;9.1;9.100258166;41.4;
10202018-19:04:29;9.2;9.200259243;41.5;
10202018-19:05:14;9.3;9.300260907;41.5;
10202018-19:05:59;9.4;9.400262907;41.5;
10202018-19:06:45;9.5;9.500264541;41.5;
10202018-19:07:30;9.6;9.600265164;41.5;
10202018-19:08:16;9.7;9.700267810;41.5;
10202018-19:09:01;9.8;9.800269590;41.5;
10202018-19:09:46;9.9;9.900271210;41.5;
10202018-19:10:32;10.0;10.000272200;41.5;
10202018-19:11:17;10.1;10.100274330;41.5;
10202018-19:12:02;10.2;10.200276200;41.5;
10202018-19:12:48;10.3;10.300277920;41.5;
10202018-19:13:33;10.4;10.400279280;41.5;
10202018-19:14:19;10.5;10.500281320;41.5;
10202018-19:15:04;10.6;10.600283540;41.5;
10202018-19:15:49;10.7;10.700285220;41.5;
10202018-19:16:35;10.8;10.800286120;41.5;
